	GO:0044421
AKAP9	0
ALDOA	1
ARHGDIA	1
ATAD2	1
ATP6V0A1	1
BANF1	1
CFL1	1
CLASP1	1
CNOT1	1
CSTB	1
DBI	1
DHX38	0
DIDO1	0
DNAJC13	1
EIF5A	1
ERH	0
FABP5	1
FAM111B	0
GAS6	1
GLG1	1
GLRX	1
HEATR1	0
HEATR5B	1
HERPUD1	0
HINT1	1
HINT2	0
HMGB2	1
HNRNPUL2	0
HSPE1	1
IGF2R	1
INCENP	0
JAK1	0
KIDINS220	0
KIF23	1
LDHB	1
LGALS1	1
LRBA	0
LSM5	0
LSM6	1
LSR	1
LUC7L2	0
MIF	1
MTPN	1
NCAPD2	0
NCAPG	0
NCKAP1L	1
NEMF	0
NPM1	0
NUP107	0
NUP205	0
P4HA1	0
P4HA1	0
PCM1	0
PDCD6	1
PFN1	1
PGAM1	1
PLCG1	0
POGZ	0
PPIA	1
PPIB	1
PRDX1	1
PRRC2A	1
PSMA6	1
RBBP6	0
RPL17	0
RPL22	1
RPL26	1
RPL38	0
RPLP2	1
RPS12	0
RPS28	1
RPS29	1
RSF1	0
S100A11	1
SCAF11	0
SEC14L1	0
SFN	1
SIN3A	0
SRSF1	1
STAT3	0
SUB1	1
SUMO2	0
SYNRG	0
TAP2	0
TBCA	1
TFIP11	1
THOC2	0
TIMM8A	0
TM9SF2	1
TMSB10	0
TMSB4X	1
TPM3	1
TPM3	1
TUBA1B	1
TXN	1
TXNDC11	0
UBR4	0
UCHL1	1
UHRF1	0
UNC93B1	0
USP19	0
VPS13C	1
WDR33	0
YLPM1	0
YTHDC2	0
ZBTB38	1


GO:0044421	extracellular region part
